"","M2_C1_n1","M2_C1_n2","M2_C1_n3","M2_C1_n4","M2_C1_n5","M2_C2_n1","M2_C2_n2","M2_C2_n3","M2_C2_n4","M2_C2_n5","M2_C3_n1","M2_C3_n2","M2_C3_n3","M2_C3_n4","M2_C3_n5","M2_C4_n1","M2_C4_n2","M2_C4_n3","M2_C4_n4","M2_C4_n5","M2_C5_n1","M2_C5_n2","M2_C5_n3","M2_C5_n4","M2_C5_n5","M2_Creno_n1","M2_Creno_n2","M2_Creno_n3","M2_Creno_n4","M2_Creno_n5","M2_Gilt_n1","M2_Gilt_n2","M2_Gilt_n3","M2_Gilt_n4","M2_Gilt_n5","M2_Mido_n1","M2_Mido_n2","M2_Mido_n3","M2_Mido_n4","M2_Mido_n5","M2_Quiz_n1","M2_Quiz_n2","M2_Quiz_n3","M2_Quiz_n4","M2_Quiz_n5","M2_Sora_n1","M2_Sora_n2","M2_Sora_n3","M2_Sora_n4","M2_Sora_n5"
"Assigned",141055499,67495004,88064805,133807989,105889573,145919084,108607834,69444703,111661079,105815566,134436058,105562888,167736031,117424766,113494941,116904102,78883156,123869122,163653624,122184515,104637718,83835114,102524710,118851784,135395583,4940130,75151024,180593511,163361754,130256403,143493511,109760477,68724150,111850476,152604793,137459758,73979913,85784100,110107090,217721229,138428141,87565817,112929045,98722664,206178277,73700823,102950510,145668515,101206729,147901359
"Unassigned_Unmapped",6300878,3351535,1375390,1922389,5013262,5914850,3979309,992809,2182383,3479178,12684194,4251803,3007440,2057896,4643645,6941350,3452168,2715050,3607501,5597260,4098317,3477012,1777224,2666721,3724646,197751,4161930,3751034,4354551,4306179,12645604,4905848,1389393,2208792,5553752,9213108,7886190,1878087,3013303,11892474,4465915,3024207,3369903,1962571,7553002,3587953,3361901,3186110,2299590,13757268
"Unassigned_Read_Type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Singleton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_MappingQuality",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Chimera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_FragmentLength",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Duplicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_MultiMapping",73328097,46048204,16209318,20001735,71916309,68366744,54503178,12014199,20379245,34274388,45597026,39888539,38272940,19900389,52954670,49971992,35318753,23356446,36341785,92832876,48395018,125029146,23184818,28392239,65900743,2714603,132561031,69865304,44369334,64194441,76104862,38239283,14571270,19852092,99695865,58370531,40816307,22269618,31313959,105169402,51346846,35313696,29333175,20355586,145234655,27818881,39374195,34960431,20288438,163469151
"Unassigned_Secondary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_NonSplit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_NoFeatures",17431527,8785144,8048753,11740174,13367715,18762505,13582693,5630026,11445075,12416471,16093925,12736342,15194098,12068730,15448560,18074939,9771777,11278092,22324041,13685813,11859891,10822418,8725258,11492531,15052865,543775,9796211,14690565,16001395,13930484,16285657,11523334,6987025,10156760,14627237,17715781,8335774,7637719,9128146,24486831,15289100,9420932,11805278,11083848,23269432,7915312,10833017,16253702,11303015,16178843
"Unassigned_Overlapping_Length",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Ambiguity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
