"","sampleName","condition","replicate","sampl","direction"
"1","M2_C1_n1_S1_I1_001","C1","n1","S1","I1"
"2","M2_C1_n1_S1_I2_001","C1","n1","S1","I2"
"3","M2_C1_n1_S1_R1_001","C1","n1","S1","R1"
"4","M2_C1_n1_S1_R2_001","C1","n1","S1","R2"
"5","M2_Mido_n2_S18_I1_001","Mido","n2","S18","I1"
"6","M2_Mido_n2_S18_I2_001","Mido","n2","S18","I2"
"7","M2_Mido_n2_S18_R1_001","Mido","n2","S18","R1"
"8","M2_Mido_n2_S18_R2_001","Mido","n2","S18","R2"
"9","M2_Sora_n5_S50_I1_001","Sora","n5","S50","I1"
"10","M2_Sora_n5_S50_I2_001","Sora","n5","S50","I2"
"11","M2_Sora_n5_S50_R1_001","Sora","n5","S50","R1"
"12","M2_Sora_n5_S50_R2_001","Sora","n5","S50","R2"
"13","M2_Creno_n4_S34_I1_001","Creno","n4","S34","I1"
"14","M2_Creno_n4_S34_I2_001","Creno","n4","S34","I2"
"15","M2_Creno_n4_S34_R1_001","Creno","n4","S34","R1"
"16","M2_Creno_n4_S34_R2_001","Creno","n4","S34","R2"
"17","M2_C5_n2_S19_I1_001","C5","n2","S19","I1"
"18","M2_C5_n2_S19_I2_001","C5","n2","S19","I2"
"19","M2_C5_n2_S19_R1_001","C5","n2","S19","R1"
"20","M2_C5_n2_S19_R2_001","C5","n2","S19","R2"
"21","M2_Gilt_n1_S2_I1_001","Gilt","n1","S2","I1"
"22","M2_Gilt_n1_S2_I2_001","Gilt","n1","S2","I2"
"23","M2_Gilt_n1_S2_R1_001","Gilt","n1","S2","R1"
"24","M2_Gilt_n1_S2_R2_001","Gilt","n1","S2","R2"
"25","M2_C3_n4_S35_I1_001","C3","n4","S35","I1"
"26","M2_C3_n4_S35_I2_001","C3","n4","S35","I2"
"27","M2_C3_n4_S35_R1_001","C3","n4","S35","R1"
"28","M2_C3_n4_S35_R2_001","C3","n4","S35","R2"
"29","M2_Sora_n2_S20_I1_001","Sora","n2","S20","I1"
"30","M2_Sora_n2_S20_I2_001","Sora","n2","S20","I2"
"31","M2_Sora_n2_S20_R1_001","Sora","n2","S20","R1"
"32","M2_Sora_n2_S20_R2_001","Sora","n2","S20","R2"
"33","M2_Quiz_n4_S36_I1_001","Quiz","n4","S36","I1"
"34","M2_Quiz_n4_S36_I2_001","Quiz","n4","S36","I2"
"35","M2_Quiz_n4_S36_R1_001","Quiz","n4","S36","R1"
"36","M2_Quiz_n4_S36_R2_001","Quiz","n4","S36","R2"
"37","M2_C1_n3_S21_I1_001","C1","n3","S21","I1"
"38","M2_C1_n3_S21_I2_001","C1","n3","S21","I2"
"39","M2_C1_n3_S21_R1_001","C1","n3","S21","R1"
"40","M2_C1_n3_S21_R2_001","C1","n3","S21","R2"
"41","M2_C2_n1_S3_I1_001","C2","n1","S3","I1"
